"workerid","A","B","percent","read_and_decide_time","quant","read_time_one","response","qq","percent_cat","resp","rt_too_quick"
34,"""middor""","""drooty""",48,820,"Fewer than half",963,"true","Fewer than half","41-50",0,FALSE
34,"""puctor""","""recure""",58,1783,"Fewer than half",962,"false","Fewer than half","51-60",1,FALSE
34,"""isbant""","""unairs""",82,774,"Fewer than half",869,"false","Fewer than half","76-100",1,FALSE
34,"""cosutz""","""spover""",39,726,"Fewer than half",869,"true","Fewer than half","26-40",0,FALSE
34,"""russer""","""huttle""",19,631,"More than half",4500,"false","More than half","1-25",0,FALSE
34,"""werner""","""hurmer""",84,600,"More than half",1279,"true","More than half","76-100",1,FALSE
34,"""puggle""","""entand""",2,758,"Fewer than half",868,"true","Fewer than half","1-25",0,FALSE
34,"""cather""","""funder""",39,553,"More than half",821,"false","More than half","26-40",0,FALSE
34,"""mecket""","""plumry""",43,1105,"Fewer than half",1216,"true","Fewer than half","41-50",0,FALSE
34,"""devole""","""sholly""",94,599,"Fewer than half",2400,"false","Fewer than half","76-100",1,FALSE
34,"""padnet""","""fanely""",10,744,"More than half",822,"false","More than half","1-25",0,FALSE
34,"""sporer""","""firtly""",9,474,"More than half",1011,"false","More than half","1-25",0,FALSE
34,"""beckel""","""racual""",9,964,"Fewer than half",962,"true","Fewer than half","1-25",0,FALSE
34,"""pluset""","""stubad""",55,679,"Fewer than half",725,"false","Fewer than half","51-60",1,FALSE
34,"""puctor""","""recure""",2,522,"More than half",867,"false","More than half","1-25",0,FALSE
34,"""padnet""","""fanely""",79,1325,"Fewer than half",836,"false","Fewer than half","76-100",1,FALSE
34,"""coamin""","""mucond""",73,551,"More than half",852,"true","More than half","61-75",1,FALSE
34,"""shrile""","""athoid""",61,1169,"More than half",10374,"true","More than half","61-75",1,FALSE
34,"""beckel""","""racual""",75,491,"More than half",1643,"true","More than half","61-75",1,FALSE
34,"""gukbar""","""soarse""",24,503,"Fewer than half",1167,"true","Fewer than half","1-25",0,FALSE
34,"""kustle""","""reshix""",10,489,"Fewer than half",1153,"true","Fewer than half","1-25",0,FALSE
34,"""ancits""","""smeath""",33,505,"Fewer than half",883,"true","Fewer than half","26-40",0,FALSE
34,"""fleeve""","""scalfs""",98,473,"More than half",1594,"true","More than half","76-100",1,FALSE
34,"""shurry""","""preser""",65,1089,"More than half",1264,"true","More than half","61-75",1,FALSE
34,"""mecket""","""plumry""",89,710,"More than half",1152,"true","More than half","76-100",1,FALSE
34,"""raster""","""movell""",26,804,"More than half",900,"false","More than half","26-40",0,FALSE
34,"""puggle""","""entand""",69,742,"More than half",712,"true","More than half","61-75",1,FALSE
34,"""devole""","""sholly""",17,647,"More than half",1466,"false","More than half","1-25",0,FALSE
34,"""monter""","""melelt""",30,1105,"Fewer than half",1105,"true","Fewer than half","26-40",0,FALSE
34,"""pirter""","""secent""",43,696,"More than half",1279,"false","More than half","41-50",0,FALSE
34,"""cosutz""","""spover""",91,552,"More than half",554,"true","More than half","76-100",1,FALSE
34,"""spunge""","""wenple""",37,521,"Fewer than half",962,"true","Fewer than half","26-40",0,FALSE
34,"""hadder""","""ollidy""",76,411,"More than half",1926,"true","More than half","76-100",1,FALSE
34,"""awplor""","""fasees""",8,537,"More than half",743,"false","More than half","1-25",0,FALSE
